id_escola,codigo_inep,nome_canonico,tipo_ficha,assessora_gerencial_2026,status_geracao,mensagem_erro,arquivo_html,html_existe,arquivo_grafico_operacional,grafico_operacional_existe,arquivo_grafico_participacao,grafico_participacao_existe,arquivo_grafico_proficiencia,grafico_proficiencia_existe
ESC_001,43105416,EEF PEQUENA CASA DA CRIANCA,INSTITUCIONAL_NAO_OPERACIONAL,,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/html/ESC_001_eef-pequena-casa-da-crianca.html,TRUE,,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_001_eef-pequena-casa-da-crianca_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_001_eef-pequena-casa-da-crianca_proficiencia.png,TRUE
ESC_002,43105505,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,OPERACIONAL,clarissa,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/html/ESC_002_emeb-dr-liberato-salzano-vieira-da-cunha.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_002_emeb-dr-liberato-salzano-vieira-da-cunha_dimensoes_operacionais.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_002_emeb-dr-liberato-salzano-vieira-da-cunha_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_002_emeb-dr-liberato-salzano-vieira-da-cunha_proficiencia.png,TRUE
ESC_003,43105440,EMEF AFONSO GUERREIRO LIMA,OPERACIONAL,graziela,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/html/ESC_003_emef-afonso-guerreiro-lima.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_003_emef-afonso-guerreiro-lima_dimensoes_operacionais.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_003_emef-afonso-guerreiro-lima_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_003_emef-afonso-guerreiro-lima_proficiencia.png,TRUE
ESC_004,43105459,EMEF AMERICA,OPERACIONAL,nathalia,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/html/ESC_004_emef-america.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_004_emef-america_dimensoes_operacionais.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_004_emef-america_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_004_emef-america_proficiencia.png,TRUE
ESC_005,43105467,EMEF ARAMY SILVA,OPERACIONAL,priscila,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/html/ESC_005_emef-aramy-silva.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_005_emef-aramy-silva_dimensoes_operacionais.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_005_emef-aramy-silva_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_005_emef-aramy-silva_proficiencia.png,TRUE
ESC_006,43173713,EMEF CAMPOS DO CRISTAL,OPERACIONAL,andreia,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/html/ESC_006_emef-campos-do-cristal.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_006_emef-campos-do-cristal_dimensoes_operacionais.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_006_emef-campos-do-cristal_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_006_emef-campos-do-cristal_proficiencia.png,TRUE
ESC_007,43187560,EMEF CHAPEU DO SOL,OPERACIONAL,ruti,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/html/ESC_007_emef-chapeu-do-sol.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_007_emef-chapeu-do-sol_dimensoes_operacionais.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_007_emef-chapeu-do-sol_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_007_emef-chapeu-do-sol_proficiencia.png,TRUE
ESC_008,43177581,EMEF CHICO MENDES,OPERACIONAL,eliane,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/html/ESC_008_emef-chico-mendes.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_008_emef-chico-mendes_dimensoes_operacionais.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_008_emef-chico-mendes_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_008_emef-chico-mendes_proficiencia.png,TRUE
ESC_009,43105475,EMEF DECIO MARTINS COSTA,OPERACIONAL,nathalia,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/html/ESC_009_emef-decio-martins-costa.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_009_emef-decio-martins-costa_dimensoes_operacionais.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_009_emef-decio-martins-costa_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_009_emef-decio-martins-costa_proficiencia.png,TRUE
ESC_010,43109128,EMEF DEP MARCIRIO GOULART LOUREIRO,OPERACIONAL,marian,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/html/ESC_010_emef-dep-marcirio-goulart-loureiro.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_010_emef-dep-marcirio-goulart-loureiro_dimensoes_operacionais.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_010_emef-dep-marcirio-goulart-loureiro_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/transacoes/execucao_20260729_233939/candidatos/graficos/ESC_010_emef-dep-marcirio-goulart-loureiro_proficiencia.png,TRUE
